"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 14:20:22 BDT 2023","Fri Mar 10 14:20:27 BDT 2023","5178","Suite","Test","testcases.TestCase","testcases.TestCase","HomePage","Visit this site and show the Homepages",""
"passed","Fri Mar 10 14:20:27 BDT 2023","Fri Mar 10 14:20:33 BDT 2023","6093","Suite","Test","testcases.TestCase","testcases.TestCase","LoginPage","Click on the Login pages",""
"broken","Mon Mar 06 22:23:14 BDT 2023","Mon Mar 06 22:23:21 BDT 2023","7077","Default suite","Default test","testcases.TestCase","testcases.TestCase","testLogInWithInvalidCredentialsUsingDataprovider","Enter a valid email and valid password in LogIn pages",""
"passed","Fri Mar 10 12:11:46 BDT 2023","Fri Mar 10 12:12:00 BDT 2023","14095","Default suite","Default test","testcases.TestCase","testcases.TestCase","testLogInVvalidCredentialsUsingDataprovider","Enter a valid email and valid password in LogIn pages",""
"passed","Mon Mar 06 21:59:56 BDT 2023","Mon Mar 06 22:00:08 BDT 2023","12120","Default suite","Default test","testcases.TestCase","testcases.TestCase","name","Enter a valid email and valid password in LogIn pages",""
"passed","Fri Mar 10 14:20:33 BDT 2023","Fri Mar 10 14:20:51 BDT 2023","17590","Suite","Test","testcases.TestCase","testcases.TestCase","testLogInValidCredentialsUsingDataprovider","Enter a valid email and valid password in LogIn pages",""
"passed","Fri Mar 10 14:21:11 BDT 2023","Fri Mar 10 14:21:19 BDT 2023","8516","Suite","Test","testcases.TestCase","testcases.TestCase","NextPage","Scroll Down And Go to the Next Page",""
"passed","Fri Mar 10 14:21:19 BDT 2023","Fri Mar 10 14:21:29 BDT 2023","9499","Suite","Test","testcases.TestCase","testcases.TestCase","ADDTOCART","View any book, Add to Cart And Hover Cart Icon and Click Checkout",""
"passed","Mon Mar 06 22:27:05 BDT 2023","Mon Mar 06 22:27:19 BDT 2023","13690","Default suite","Default test","testcases.TestCase","testcases.TestCase","testLogInWithInvalidCredentialsUsingDataprovider","Enter a valid email and valid password in LogIn pages",""
"passed","Fri Mar 10 14:20:51 BDT 2023","Fri Mar 10 14:21:10 BDT 2023","19839","Suite","Test","testcases.TestCase","testcases.TestCase","AfterLogInHomePages","Hover Story Book and click on the Friction",""
"passed","Fri Mar 10 14:21:29 BDT 2023","Fri Mar 10 14:21:52 BDT 2023","23537","Suite","Test","testcases.TestCase","testcases.TestCase","OrderPlace","Provide all information on this page And Place Order",""
"broken","Fri Mar 10 12:47:50 BDT 2023","Fri Mar 10 12:47:50 BDT 2023","12","Default suite","Default test","testcases.TestCase","testcases.TestCase","setBrowser","setBrowser",""
